문제내용-영어,문제내용-한글,보기,진짜답,내제출답,비고
"A company is planning to run a global marketing application in the AWS Cloud. The application will feature videos that can be viewed by users. The company must ensure that all users can view these videos with low latency.
Which AWS service should the company use to meet this requirement?","회사는 AWS 클라우드에서 글로벌 마케팅 애플리케이션을 실행할 계획입니다. 이 애플리케이션은 사용자가 볼 수 있는 동영상을 제공합니다. 회사는 모든 사용자가 짧은 대기 시간으로 이러한 비디오를 볼 수 있도록 해야 합니다.
회사에서 이 요구 사항을 충족하려면 어떤 AWS 서비스를 사용해야 합니까?","A. AWS Auto Scaling
B. Amazon Kinesis Video Streams
C. Elastic Load Balancing
D. Amazon CloudFront",d,d,
Which pillar of the AWS Well-Architected Framework refers to the ability of a system to recover from infrastructure or service disruptions and dynamically acquire computing resources to meet demand?,AWS Well-Architected 프레임워크의 핵심 요소는 인프라 또는 서비스 중단으로부터 복구하고 수요를 충족하기 위해 컴퓨팅 리소스를 동적으로 확보하는 시스템의 기능을 의미합니까?,"A. Security
B. Reliability
C. Performance efficiency
D. Cost optimization",b,b,
Which of the following are benefits of migrating to the AWS Cloud? (Choose two.),다음 중 AWS 클라우드로 마이그레이션할 때의 이점은 무엇입니까? (두 가지를 선택하세요.),"A. Operational resilience
B. Discounts for products on Amazon.com
C. Business agility
D. Business excellence
E. Increased staff retention","a,c","a,c",
"A company is planning to replace its physical on-premises compute servers with AWS serverless compute services. The company wants to be able to take advantage of advanced technologies quickly after the migration.
Which pillar of the AWS Well-Architected Framework does this plan represent?","회사에서 물리적 온프레미스 컴퓨팅 서버를 AWS 서버리스 컴퓨팅 서비스로 교체할 계획입니다. 회사는 마이그레이션 후 신속하게 고급 기술을 활용할 수 있기를 원합니다.
이 계획이 나타내는 AWS Well-Architected 프레임워크의 기둥은 무엇입니까?","A. Security
B. Performance efficiency
C. Operational excellence
D. Reliability",b,b,
"A large company has multiple departments. Each department has its own AWS account. Each department has purchased Amazon EC2 Reserved Instances.
Some departments do not use all the Reserved Instances that they purchased, and other departments need more Reserved Instances than they purchased.
The company needs to manage the AWS accounts for all the departments so that the departments can share the Reserved Instances.
Which AWS service or tool should the company use to meet these requirements?","대기업에는 여러 부서가 있습니다. 각 부서에는 자체 AWS 계정이 있습니다. 각 부서는 Amazon EC2 예약 인스턴스를 구매했습니다.
일부 부서에서는 구매한 예약 인스턴스를 모두 사용하지 않고 다른 부서에서는 구매한 것보다 더 많은 예약 인스턴스가 필요합니다.
부서가 예약 인스턴스를 공유할 수 있도록 회사는 모든 부서의 AWS 계정을 관리해야 합니다.
회사에서 이러한 요구 사항을 충족하려면 어떤 AWS 서비스 또는 도구를 사용해야 합니까?","A. AWS Systems Manager
B. Cost Explorer
C. AWS Trusted Advisor
D. AWS Organizations",d,d,
"Which component of the AWS global infrastructure is made up of one or more discrete data centers that have redundant power, networking, and connectivity?","보조 파워, 네트워킹 및 연결 기능을 갖춘 하나 이상의 개별 데이터 센터로 구성된 AWS 글로벌 인프라의 구성 요소는 무엇입니까?","A. AWS Region
B. Availability Zone
C. Edge location
D. AWS Outposts",b,a,아... 집합을 의미하는게 아니였음
Which duties are the responsibility of a company that is using AWS Lambda? (Choose two.),AWS Lambda를 사용하는 회사의 책임은 무엇입니까? (두 가지를 선택하세요.),"A. Security inside of code
B. Selection of CPU resources
C. Patching of operating system
D. Writing and updating of code
E. Security of underlying infrastructure","a,d","a,d",
Which AWS services or features provide disaster recovery solutions for Amazon EC2 instances? (Choose two.),Amazon EC2 인스턴스용 재해 복구 솔루션을 제공하는 AWS 서비스 또는 기능은 무엇입니까? (두 가지를 선택하세요.),"A. ׀•׀¡2 Reserved Instances
B. EC2 Amazon Machine Images (AMIs)
C. Amazon Elastic Block Store (Amazon EBS) snapshots
D. AWS Shield
E. Amazon GuardDuty","b,c","b,c",
"A company is migrating to the AWS Cloud instead of running its infrastructure on premises.
Which of the following are advantages of this migration? (Choose two.)","회사에서 인프라를 온프레미스에서 실행하는 대신 AWS 클라우드로 마이그레이션하고 있습니다.
다음 중 이 마이그레이션의 이점은 무엇입니까? (두 가지를 선택하세요.)","A. Elimination of the need to perform security auditing
B. Increased global reach and agility
C. Ability to deploy globally in minutes
D. Elimination of the cost of IT staff members
E. Redundancy by default for all compute services
 
","b,c","b,c",
"A user is comparing purchase options for an application that runs on Amazon EC2 and Amazon RDS. The application cannot sustain any interruption. The application experiences a predictable amount of usage, including some seasonal spikes that last only a few weeks at a time. It is not possible to modify the application.
Which purchase option meets these requirements MOST cost-effectively?","사용자가 Amazon EC2와 Amazon RDS에서 실행되는 애플리케이션의 구매 옵션을 비교하고 있습니다. 응용 프로그램은 중단을 지속할 수 없습니다. 애플리케이션은 한 번에 몇 주 동안만 지속되는 일부 계절적 급증을 포함하여 예측 가능한 사용량을 경험합니다. 응용 프로그램을 수정할 수 없습니다.
어떤 구매 옵션이 이러한 요구 사항을 가장 비용 효율적으로 충족합니까?","A. Review the AWS Marketplace and buy Partial Upfront Reserved Instances to cover the predicted and seasonal load.
B. Buy Reserved Instances for the predicted amount of usage throughout the year. Allow any seasonal usage to run on Spot Instances.
C. Buy Reserved Instances for the predicted amount of usage throughout the year. Allow any seasonal usage to run at an On-Demand rate.
D. Buy Reserved Instances to cover all potential usage that results from the seasonal usage.",c,b,"C가 정답이며, ""응용 프로그램이 중단을 지속할 수 없다""고 명시적으로 언급한 질문에서 스팟 인스턴스는 시작 및 종료 시간이 유연한 워크로드에 이상적이거나 중단을 견딜 수 있는 워크로드에 적합합니다. 이상적으로 우리는 중단을 허용하지 않는 가격을 원합니다. 이 경우 온디맨드가 될 것입니다."
